icd_10_code,icd_10
E063,Autoimmune thyroiditis [incl Hashimoto]
E069,"Thyroiditis, unspec"
E079,"Disorder of thyroid, unspecified"
E108,"Diabetes mellitus, insulin dependent w/ unspec complications"
E109,"Diabetes mellitus, insulin dependent w/o complications"
E118,"Diabetes mellitus, non-insulin dependent, unspec"
E119,"Diabetes mellitus, non-insulin dependent w/o complications"
E138,"Diabetes, unspec"
E14X,"Diabetes mellitus, NOS"
E213,Hyperparathyroidism
E220,Acromegaly and pituitary gigantism
E229,"Hyperfunction of pituitary gland, unspec"
E230,Hypopituitarism [incl Pituitary dwarfism]
E249,Cushing's Syndrome
E271,Primary adrenocortical insufficiency [incl Addisons]
E282,Polycystic ovarian syndrome
E291,Testicular hypofunction
E301,Precocious puberty
E8021,Acute intermittent (hepatic) Porphyria
E804,Gilberts syndrome
E831,Hemochromatosis -hereditary
E8311,Hemochromatosis due to repeated blood transfusions
E849,"Cystic Fibrosis, unspecified"
E850,"Amyloidosis, non-neuropathic heredofamilial [incl Systemic, skin]"
E853,"Amyloidosis, secondary systemic"
E858,"Amyloidosis, NEC"
E859,Amyloidosis
E882,"Lipomatosis, NEC"
G049,"Encephalitis, myeloitis and encephalomyelitis, unspec"
G1221,ALS
G129,"Spinal Muscle Atrophy, NOS"
G20X,Parkinsons disease
G30X,Alzheimers disease
G35,Multiple Sclerosis
G538,Other cranial nerve disorders in diseases classified elsewhere
G540,Brachial plexus disorders
G541,Lumbosacral plexus disorders
G548,Other nerve root and plexus disorders
G629,"Polyneuropathy, unspecified [incl POEMS syndrome]"
G710,Muscular dystrophy
G911,Obstructive hydrocephalus
G930,Arachnoid Cyst
G9349,"Encephalopathy, Other"
H260,"Infantile, juvenile and presenile cataract [incl Nonsenile]"
H269,"Cataract, unspecified"
H350,Background retinopathy/retinal vascular changes
H355,Retinitis pigmentosa
H445,Degenerated conditions globe [incl Optic atrophy]
H471,Papilledema
H500,Esotropia
H501,Exotropia
H509,"Strabismus, unspec"
H534,Profound Vision Impairment
H540,"Profound Vision Impairment, Both Eyes"
H541,"Profound Vision Impairment, One Eye"
H578,Other spec disorders eye/adnexa [incl Eye movement disorder]
H579,"Disorder of eye and adnexa, unspec"
H905,"Sensorineural hearing loss, unspec"
H908,"Mixed conductive/sensorineural hearing loss, unspec"
H919,"Hearing loss, unspec"
H931,Tinnitus
I10X,Essential hypertension
I219,"Acute myocardial infarction, unspec"
I250,Atherosclerotic cardiovascular disease
I251,Atherosclerotic heart disease
I270X,Pulmonary Hypertension
I280,Arteriovenous fistula of pulmonary vessels
I500,Congestive heart failure
I509,Heart failure
I515,Myocardial degeneration
I519,All other forms of heart disease
I619,"Intracerebral hemorrhage, unspec"
I64X,Cerebrovascular accident (stroke)
I669,Occlusion/stenosis unspec cerebral artery
I730,Raynauds syndrome
I770,"Arteriovenous fistula, acquired"
I781,"Diseases of capillaries, nevus, non-neoplastic"
I861,Scrotal varices
J189,Pneumonia
J219,"Acute bronchiolitis, unspec"
J339,Nasal Polyps
J380,Paralysis of vocal cords and larynx
J381,Polyp of vocal cord and larynx
J439,Emphysema
J449,Other chronic lower respiratory diseases
J459,Asthma
J8410,Pulmonary fibrosis [other interstitial pulmonary disease]
J860,Tracheal esophageal fistula
J90X,Pleural effusion
J939,Pneumothorax unspecified
J984,"Cyst, lung"
K088,Other spec disorders of teeth/supporting structures
K089,"Disorders of teeth/supporting structures, unspec"
K090,Developmental odontogenic cysts
K092,Other cysts of jaw
K099,"Cyst of oral region, unspec"
K1321,Leukoplakia (oral)
K227,Barrett&#39;s Esophagus
K264,"Duodenal ulcer, chronic/unspec w/ hemorrhage"
K359,"Acute appendicities, unspec [incl w/o peritonitis]"
K402,Bilateral iquinal hernia w/o obstruct or NOS
K409,"Unilateral or unspec inguinal hernia, w/o obstruction"
K509,Crohn's disease
K519,"Ulcerative colitis, unspec"
K635,Colon polyp
K740,Liver fibrosis
K7460,Liver cirrhosis
K7681,Hepatopulmonary syndrome
K769,"Liver Disease, unspecified"
K900,Celiac disease
L109,Pemphigus
L409,Psoriasis
L570,Actinic keratosis
L721,Trichilemmal cyst [incl Sebaceous]
L859,"Epidermal thickening, unspec"
L932,Other local lupus erythematosus
L982,Sweet syndrome
L988,Skin Disorders NEC
M069,Rheumatoid arthritis
M073,Psoriatic arthritis
M139,"Arthritis, unspec"
M159,"Polyarthrosis, unspec [incl Osteoarthritis, generalized NOS]"
M320,Drug-induced systemic lupus erythematosus
M321,Systemic lupus erythematosus w/ organ/system involvement
M328,Other systemic lupus erythromatosus
M329,"Systemic lupus erythromatosus, unspec"
M339,Dermatopolymyositis
M349,"Systemic sclerosis, unspec"
M350,Sicca syndrome [Sjogren]
M352,Behcets syndrome
M353,Polymyalgia rheumatica
M359,Autoimmune (Systemic) Unspecified
M402,Kyphosis
M405,Lordosis
M419,Scoliosis
M439,"Deforming dorsopathy, unspec [incl Curvature spine]"
M459,"Ankylosing spondylitis, site unspec"
M790,"Rheumatism, unspecified"
M856,Other cyst of bone
M869,"Osteomyelitis, NOS"
M879,"Osteonecrosis, unspec [include Avascular]"
M8950,"Osteolysis, Unspecified site"
M952,Other acquired deformity of head
M954,Acquired deformity of chest and rib
M958,Other specified acquired deformity of musculoskeletal system
N049,"Nephrotic syndrome, unspec"
N10X,Acute tubulo-interstitial nephritis
N12X,"Tubulo-interstitial nephritis, NOS [incl Pyelonephritis]"
N179,Renal failure
N269,"Renal Sclerosis, Unspecified"
N281,Cyst of kidney acquired
N430,Encysted hydrocele
N433,"Hydrocele, NOS"
N434,Epididymal cyst/spermatocele
N450,"Orchitis, Epididymitis with abscess"
N459,"Orchitis, Epididymitis w/o abscess"
N46X,Male infertility [incl Azoospermia] [Oligospermia]
N500,Atrophy of testis
N508,Other specified disorders of male genital organs
N5081,Testicular cyst
N5082,Testicular microlithiasis
N5083,Testicular microcalcifications
N600,Solitary cyst breast
N601,Diffuse cystic mastopathy [incl Fibrocystic breast]
N602,Fibroadenosis of breast
N603,Fibrosclerosis of breast
N608,Other specified benign mammary dysplasias
N6081,Atypical lobular hyperplasia
N6082,Atypical ductal hyperplasia
N609,"Benign mammary dysplasia, unspecified"
N62X,Hypertrophy of breast [incl Gynecomastia]
N648,Other specified breast disorder
N649,"Breast Disorder, NOS"
N700,Acute salpingitis and oophritis
N701,Chronic salpingitis and oophritis
N72X,Inflammatory disease cervic uteri [Cervicitis]
N800,"Endometriosis, uterus"
N830,Follicular cyst of ovary
N831,Corpus luteum cyst
N832,Other and unspec ovarian cysts
N850,Endometrial glandular hyperplasia
N870,Cervical Intraepithelial Neoplasia-CIN I
N871,Cervical Intraepithelial Neoplasia-CIN II
N879,"Dysplasia cervix uteri, unspec"
N970,"Female infertility, anovulation"
N979,"Female infertility, unspec"
O001,Tubal pregnancy
O009,"Ectopic Pregnancy, NOS"
O035,Spontaneous abortion complicated by infection
O070,Legal abortion complicated by infection
O074,"Failed medical abortion, without complication"
O200,Spontaneous Abortion
O364,Intrauterine Death
P550,Rh isoimmunization fetus/newborn
Q019,Encephalocele
Q02X,Microcephaly
Q039,"Congenital hydrocephalus, unspec"
Q043,Cerebellar hypoplasia
Q049,Brain Anomaly NEC
Q059,Spina bifida
Q069,Other Spinal Cord Anomalies
Q079,"Congenital malformation nevous system, unspec"
Q120,Congenital cataract
Q139,"Anterior Segment Anomalies, NEC"
Q158,Other spec congenital malformations eye
Q159,"Congenital malformations eye, unspec"
Q178,Other spec congenital malformations ear
Q179,"Congenital malformations ear, unspec"
Q210,Ventricular septal defect
Q211,Atrial septal defect
Q212,atrioventricular canal defect
Q213,Tetralogy of Fallot
Q249,"Congenital malformation, heart"
Q268,total anomalous pulmonary venous return
Q510,Agenesis and aplasia of uterus
Q531,"Undescended testicle, unilateral"
Q532,"Undescended testicle, bilateral"
Q539,"Undescended testicle, unspec [Cryptorchism NOS]"
Q549,"Hypospadias, unspec"
Q550,Absence and aplasia of testis
Q552,Other congenital malformation testis/scrotum [incl Testes or scrotum NOS]
Q558,Other specified congenital malformations of male genital organs
Q559,"Congenital malformation of male genital organ, unspec"
Q602,"Renal agenesis, unspec"
Q623,Other obstructive defects of renal pelvis and ureter
Q631,"Lobulated, fused and horseshoe kidney"
Q639,"Congenital malformation kidney, NOS"
Q699,Polydactyly
Q709,Syndactyly
Q719,"Reduction defect upper limb, uspec"
Q729,"Reduction defect lower limb, unspec"
Q738,"Other reduction defect, unspec limb"
Q740,"Other congenital malformations, upper limb"
Q742,"Other congenital malformations, lower limb"
Q748,Other spec congenital malformation limb(s)
Q749,Unspec congenital malformation limb(s)
Q753,Macrocephaly
Q759,"Congenital malformation skull/face bones, unspec"
Q764,Other congenital malformation spine
Q772,Jeune's syndrome (asphyxiating thoracic dystrophy)
Q7780,Metaphyseal dysostosis
Q789,"Osteochondrodysplasia, unspec"
Q822,Mastocytosis
Q8280,Dyskeratosis congenita
Q8281,Revesz syndrome
Q8282,Hoyeraal Hreidarsson syndrome
Q8284,Rothmund-Thomson syndrome
Q833,Accessory nipple
Q8501,Neurofibromatosis Type 1
Q8503,Schwannomatosis
Q851,Tuberous sclerosis
Q859,"Phakomatosis, unspec [incl Hamartosis NOS]"
Q8710,Seckel syndrome
Q8711,Dubowitz syndrome
Q872,Thrombocytopenia absent radii
Q8721,VATER syndrome
Q891,Congenital malformations adrenal gland
Q893,Situs inversus
Q897,"Multiple congenital malformations, NEC"
Q898,"Congenital malformations,deformations"
Q899,"Congenital malformation, unspec"
Q909,"Downs syndrome, unspec"
Q911,"Trisomy 18, mosaicism"
Q913,"Trisomy 18, unspec"
Q9280,Trisomy 8
Q9380,Monosomy 7
Q939,"Deletion autosomes, unspec"
Q959,"Balanced rearrangement/structural marker, unspec [incl Balanced autosomal translocation]"
Q969,"Turners syndrome, unspec"
Q984,"Kleinfelters syndrome, unspec"
Q998,Abnormal cytogenetics (Karyotype) BM
Q9981,Abnormal cytogenetics (karyotype) Blood
Q9982,Abnormal cytogenetics (array) BM
Q9983,abnormal cytogenetics (array) Blood
Q999,"Chromosome abnormality, unspec"
R161,"Splenomegaly, NEC"
R21X,Rash & other nonspec skin eruption (chronic skin)
R568,Other/unspec convulsions [incl Idiopathic]
R591,Lymphadenopathy
R599,"Enlarged lymph nodes, unspecified (Castleman's)"
R600,"Edema, localized"
R769,Abnormal immunological finding serum [incl IFE]
R823,Paroxysmal nocturnal hemoglobinuria
R876,"Abnormal specimen female genital organs, cytologic [PAP]"
R946,Abnormal thyroid function studies
R95X,SIDS
T860,Graft versus host disease (GVHD)
Z006,Examination for normal comparison and control in clinical research program
Z510,Radiotherapy session
Z800,Family history of malignant neoplasm of digestive system
Z801,"Family history of malignant neoplasm of trachea, bronchus and lung"
Z803,Family history of malignant neoplasm of breast
Z805,Family history of malignant neoplasm of urinary tract
Z807,"Family history of other malignant neoplasms of lymphoid, hematopoietic, and related tissue"
Z808,Family history of malignant neoplasm of other organs or systems
Z809,"Family history of malignant neoplasm, unspecified"
ZZZZ,QA Review
